,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn,vulnerability_categorymap,susceptibility_categorymap,exposure_categorymap,wri_categorymap
1747,Tonga,Very High,Very High,High,Medium,,55.27,,,,,2016.0,,4,3,2,4
1748,Philippines,Very High,Very High,High,High,,52.46,,,,,2016.0,,4,4,2,4
1749,Guatemala,Very High,Very High,High,High,,36.3,,,,,2016.0,,4,4,2,4
1750,Bangladesh,Very High,Very High,High,High,,31.7,,,,,2016.0,,4,4,2,4
1751,Solomon Islands,Very High,Very High,Very High,High,,29.98,,,,,2016.0,,5,4,2,4
1752,Brunei Darussalam,Very High,Very High,Low,Low,,41.1,,,,,2016.0,,2,2,2,4
1753,Costa Rica,Very High,Very High,Low,Low,,42.61,,,,,2016.0,,2,2,2,4
1754,Cambodia,Very High,Very High,High,High,,27.65,,,,,2016.0,,4,4,2,4
1756,El Salvador,Very High,Very High,Medium,Medium,,32.6,,,,,2016.0,,3,3,2,4
1758,Mauritius,Very High,Very High,Low,Low,,37.35,,,,,2016.0,,2,2,2,4
1759,Nicaragua,Very High,Very High,High,High,,27.23,,,,,2016.0,,4,4,2,4
1761,Fiji,Very High,Very High,Medium,Medium,,27.71,,,,,2016.0,,3,3,2,4
1762,Japan,Very High,Very High,Very Low,Low,,45.91,,,,,2016.0,,1,2,2,4
1767,Chile,Very High,Very High,Low,Low,,30.95,,,,,2016.0,,2,2,2,4
1794,Netherlands,Very High,High,Very Low,Very Low,,30.57,,,,,2016.0,,1,1,2,3
1858,Korea Republic of 4.59,Very High,Very High,Very Low,High,,30.82,,,,,2016.0,,1,4,2,4
1916,Qatar,Very Low,Very Low,Very Low,Very Low,,0.28,,,,,2016.0,,1,1,1,1
